year;team;played;won;drawn;lost;goals_for;goals_against;goal_difference;points
1959;Fenerbahce;16;13;2;1;33;8;25;28
1960;Besiktas;38;29;7;2;68;15;53;65
1961;Fenerbahce;38;26;9;3;81;29;52;61
1962;Galatasaray;38;23;11;4;52;18;34;57
1963;Galatasaray;22;14;7;1;54;14;40;35
1964;Fenerbahce;34;21;11;2;55;14;41;53
1965;Fenerbahce;30;18;11;1;52;13;39;47
1966;Besiktas;30;20;8;2;52;16;36;48
1967;Besiktas;32;16;13;3;44;15;29;45
1968;Fenerbahce;32;19;11;2;38;12;26;49
1969;Galatasaray;30;19;8;3;49;14;35;46
1970;Fenerbahce;30;17;10;3;31;6;25;44
1971;Galatasaray;30;17;8;5;51;18;33;42
1972;Galatasaray;30;17;8;5;34;14;20;42
1973;Galatasaray;30;19;9;2;47;12;35;47
1974;Fenerbahce;30;15;13;2;39;15;24;43
1975;Fenerbahce;30;15;13;2;43;18;25;43
1976;Trabzonspor;30;17;9;4;36;14;22;43
1977;Trabzonspor;30;18;7;5;41;12;29;43
1978;Fenerbahce;30;17;8;5;48;24;24;42
1979;Trabzonspor;30;13;16;1;34;7;27;42
1980;Trabzonspor;30;12;15;3;25;11;14;39
1981;Trabzonspor;30;16;7;7;41;21;20;39
1982;Besiktas;32;14;16;2;38;17;21;44
1983;Fenerbahce;34;18;13;3;43;20;23;49
1984;Trabzonspor;34;18;14;2;43;14;29;50
1985;Fenerbahce;34;18;14;2;65;25;40;50
1986;Besiktas;36;22;12;2;65;21;44;56
1987;Galatasaray;36;23;8;5;55;24;31;54
1988;Galatasaray;38;27;9;2;86;35;51;90
1989;Fenerbahce;36;29;6;1;103;27;76;93
1990;Besiktas;34;23;6;5;77;20;57;75
1991;Besiktas;30;20;9;1;63;24;39;69
1992;Besiktas;30;23;7;0;58;20;38;76
1993;Galatasaray;30;20;6;4;74;21;53;66
1994;Galatasaray;30;22;4;4;67;28;39;70
1995;Besiktas;34;24;7;3;80;26;54;79
1996;Fenerbahce;34;26;6;2;68;19;49;84
1997;Galatasaray;34;25;7;2;90;30;60;82
1998;Galatasaray;34;23;6;5;86;43;43;75
1999;Galatasaray;34;23;9;2;85;30;55;78
2000;Galatasaray;34;24;7;3;77;23;54;79
2001;Fenerbahce;34;24;4;6;82;39;43;76
2002;Galatasaray;34;24;6;4;75;31;44;78
2003;Besiktas;34;26;7;1;63;21;42;85
2004;Fenerbahce;34;23;7;4;82;41;41;76
2005;Fenerbahce;34;26;2;6;77;24;53;80
2006;Galatasaray;34;26;5;3;82;34;48;83
2007;Fenerbahce;34;20;10;4;65;31;34;70
2008;Galatasaray;34;24;7;3;64;23;41;79
2009;Besiktas;34;21;8;5;60;30;30;71
2010;Bursaspor;34;23;6;5;65;26;39;75
2011;Fenerbahce;34;26;4;4;84;34;50;82
2012;Galatasaray;34;23;8;3;69;24;45;77
2013;Galatasaray;34;21;8;5;66;35;31;71
2014;Fenerbahce;34;23;5;6;74;33;41;74
2015;Galatasaray;34;24;5;5;60;35;25;77
2016;Besiktas;34;25;4;5;75;35;40;79
2017;Besiktas;34;23;8;3;73;30;43;77
2018;Galatasaray;34;24;3;7;75;33;42;75
